name,centerX,centerY
val_0.jpg,221.5,2326.5
val_0.jpg,822.5,1863.0
val_0.jpg,1040.0,1871.5
val_0.jpg,1272.0,1913.0
val_0.jpg,1491.5,1923.5
val_0.jpg,1718.5,1927.5
val_0.jpg,1937.0,1937.5
val_0.jpg,2147.5,1935.5
val_0.jpg,2363.0,1944.0
val_0.jpg,2576.0,1956.0
val_0.jpg,2792.5,1960.5
val_0.jpg,2998.5,1969.0
val_0.jpg,3208.0,1986.5
val_0.jpg,3424.5,1974.0
val_0.jpg,3413.5,1445.5
val_0.jpg,3238.5,1432.0
val_0.jpg,585.0,1847.5
val_0.jpg,322.5,1911.5
val_0.jpg,223.5,1901.0
val_0.jpg,112.5,1908.0
val_0.jpg,3168.0,2988.0
val_0.jpg,3374.5,2991.0
val_0.jpg,3354.5,2445.0
val_0.jpg,3145.5,2439.5
val_0.jpg,2933.0,2438.5
val_0.jpg,2728.0,2448.5
val_0.jpg,2501.5,2441.0
val_0.jpg,3044.0,1441.5
val_0.jpg,2268.0,2428.0
val_0.jpg,1863.0,2424.5
val_0.jpg,1675.0,2401.5
val_0.jpg,1469.0,2409.0
val_0.jpg,1263.5,2398.0
val_0.jpg,1031.5,2401.5
val_0.jpg,815.5,2389.5
val_0.jpg,585.0,2374.5
val_0.jpg,2047.0,2434.0
val_0.jpg,2874.5,1429.5
val_0.jpg,2684.0,1432.0
val_0.jpg,2485.5,1412.5
val_0.jpg,1558.0,522.0
val_0.jpg,1731.0,532.0
val_0.jpg,1933.0,638.0
val_0.jpg,1932.0,451.5
val_0.jpg,1942.5,204.0
val_0.jpg,1858.5,175.0
val_0.jpg,1789.0,138.5
val_0.jpg,1372.5,515.0
val_0.jpg,2143.0,590.5
val_0.jpg,2383.0,196.5
val_0.jpg,2683.0,595.5
val_0.jpg,3010.5,668.0
val_0.jpg,3216.5,677.0
val_0.jpg,3214.5,300.0
val_0.jpg,3036.0,289.5
val_0.jpg,3425.5,590.5
val_0.jpg,2375.5,583.5
val_0.jpg,2994.0,2994.5
val_0.jpg,1206.5,499.5
val_0.jpg,879.0,471.5
val_0.jpg,2299.0,1410.0
val_0.jpg,2111.0,1399.5
val_0.jpg,1916.5,1382.5
val_0.jpg,1709.5,1371.0
val_0.jpg,1473.5,1366.5
val_0.jpg,1221.5,1371.5
val_0.jpg,977.5,1331.5
val_0.jpg,1065.5,488.5
val_0.jpg,707.0,1393.5
val_0.jpg,490.5,1371.5
val_0.jpg,343.0,1413.5
val_0.jpg,237.0,1419.0
val_0.jpg,99.5,1406.5
